City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,79.72,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
3,Sambava,MG,76.44,light rain,-14.2667,50.1667,Royal Sava Hôtel
4,Bandarbeyla,SO,80.65,few clouds,9.4942,50.8122,No hotel found
5,Kapaa,US,80.92,light rain,22.0752,-159.319,Pono Kai Resort
6,Ciudad Valles,MX,70.21,clear sky,21.9833,-99.0167,Hotel Riviera
10,Basco,PH,77.56,scattered clouds,20.4487,121.9702,Tawsen Hotel
15,Playa Del Carmen,MX,76.01,few clouds,20.6274,-87.0799,Wabi hotel
17,Coahuayana,MX,72.32,clear sky,18.7333,-103.6833,No hotel found
26,Gandai,IN,77.0,broken clouds,21.6667,81.1,No hotel found
27,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
29,Atuona,PF,80.29,clear sky,-9.8,-139.0333,Pearl Resort
36,Kavaratti,IN,81.86,overcast clouds,10.5669,72.642,No hotel found
43,Puerto Ayora,EC,80.55,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
45,Antofagasta,CL,70.88,clear sky,-23.65,-70.4,Hotel Colón
46,Manaure,CO,77.74,broken clouds,11.7751,-72.4445,hotel palaima
50,Mahebourg,MU,77.29,few clouds,-20.4081,57.7,Grand Bel Air
51,Taoudenni,ML,72.27,clear sky,22.6783,-3.9836,No hotel found
52,Hithadhoo,MV,82.89,overcast clouds,-0.6,73.0833,Pebbles Inn
53,Pringsewu,ID,86.58,broken clouds,-5.3582,104.9744,No hotel found
55,Geraldton,AU,79.21,overcast clouds,-28.7667,114.6,Ocean Centre Hotel
57,Salinopolis,BR,75.99,moderate rain,-0.6136,-47.3561,Hotel Salinópolis
59,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,No hotel found
63,Sao Joao Da Barra,BR,74.75,scattered clouds,-21.6403,-41.0511,Pousada Mediterrâneo
64,Arraial Do Cabo,BR,75.61,clear sky,-22.9661,-42.0278,No hotel found
68,Bonthe,SL,76.53,scattered clouds,7.5264,-12.505,No hotel found
69,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Coco Villa
70,Busselton,AU,78.91,clear sky,-33.65,115.3333,No hotel found
77,Pochutla,MX,79.83,scattered clouds,15.7432,-96.4661,Posada San Jose
78,Touros,BR,76.71,light rain,-5.1989,-35.4608,Pousada Atlântico
80,Port Blair,IN,84.24,mist,11.6667,92.75,Andaman Ocean Breeze
83,Bambous Virieux,MU,77.25,few clouds,-20.3428,57.7575,No hotel found
84,Namie,JP,73.71,clear sky,37.4833,141.0,HOTELなみえ
86,Sabang,ID,81.7,few clouds,5.8933,95.3214,Sabang Hill
87,Boueni,YT,82.38,light rain,-12.9025,45.0761,La Case Robinson
90,Cape Canaveral,US,70.99,clear sky,28.4058,-80.6048,Holiday Inn Club Vacations Cape Canaveral Beach Resort
94,Butaritari,KI,80.85,light rain,3.0707,172.7902,No hotel found
95,Pemangkat,ID,82.18,broken clouds,1.1667,108.9667,Hotel Kelapa Gading
98,Dutse,NG,75.16,overcast clouds,11.7594,9.3392,No hotel found
99,Esperance,AU,75.9,broken clouds,-33.8667,121.9,Hospitality
101,Mamallapuram,IN,84.25,few clouds,12.6264,80.1722,Radisson Temple Bay
106,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
109,Sola,VU,81.16,overcast clouds,-13.8833,167.55,No hotel found
