City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Faranah,10.0404,-10.7434,76.21,67,100,5.75,GN
1,Carnarvon,-24.8667,113.6333,79.27,63,37,10.74,AU
2,Punta Arenas,-53.15,-70.9167,44.71,65,0,5.75,CL
3,Inverell,-29.7833,151.1167,81.66,60,2,10.02,AU
4,Necochea,-38.5473,-58.7368,61.74,74,35,13.96,AR
5,Vaini,-21.2,-175.2,82.56,74,75,10.36,TO
6,Mataura,-46.1927,168.8643,64.47,47,100,3.11,NZ
7,Aklavik,68.2191,-135.0107,18.25,89,81,14.43,CA
8,New Norfolk,-42.7826,147.0587,67.71,52,11,4.0,AU
9,Ribeira Grande,38.5167,-28.7,55.78,74,92,4.0,PT
10,Kisangani,0.5167,25.2,70.5,97,100,2.44,CD
11,Busselton,-33.65,115.3333,73.53,61,85,10.2,AU
12,Port Alfred,-33.5906,26.891,68.18,91,100,7.0,ZA
13,Longyearbyen,78.2186,15.6401,4.84,56,20,12.66,SJ
14,Qaanaaq,77.484,-69.3632,-10.07,65,19,6.89,GL
15,Ulladulla,-35.35,150.4667,77.77,74,92,6.35,AU
16,Hermanus,-34.4187,19.2345,65.8,93,99,10.89,ZA
17,Albany,42.6001,-73.9662,47.35,84,100,7.0,US
18,Arraial Do Cabo,-22.9661,-42.0278,71.56,100,20,3.44,BR
19,Rikitea,-23.1203,-134.9692,78.24,67,92,11.12,PF
20,Kapaa,22.0752,-159.319,80.58,90,100,1.01,US
21,Mugango,-1.6833,33.7,65.25,92,100,7.29,TZ
22,Sokolo,14.7328,-6.1219,80.24,50,78,3.83,ML
23,Whitianga,-36.8333,175.7,67.93,52,5,7.25,NZ
24,Baran,25.1,76.5167,75.88,44,2,6.02,IN
25,Ilulissat,69.2167,-51.1,-15.25,88,11,4.85,GL
26,Hasaki,35.7333,140.8333,70.2,86,100,4.32,JP
27,Barrow,71.2906,-156.7887,10.42,79,75,9.22,US
28,Kenai,60.5544,-151.2583,34.14,66,0,19.57,US
29,Nanortalik,60.1432,-45.2371,25.86,86,100,3.62,GL
30,Georgetown,5.4112,100.3354,84.13,89,20,3.44,MY
31,Saint-Philippe,-21.3585,55.7679,74.79,82,83,6.69,RE
32,Boa Vista,2.8197,-60.6733,84.18,58,0,10.36,BR
33,San Ramon De La Nueva Oran,-23.1322,-64.326,78.42,94,96,2.59,AR
34,Victoria,22.2855,114.1577,81.43,80,33,3.0,HK
35,Ushuaia,-54.8,-68.3,44.26,76,0,3.44,AR
36,Hobart,-42.8794,147.3294,68.05,52,20,13.8,AU
37,Lavrentiya,65.5833,-171.0,2.98,90,100,2.08,RU
38,Kodiak,57.79,-152.4072,35.11,41,0,14.97,US
39,Derbent,42.0678,48.2899,47.91,75,100,8.25,RU
40,Otuzco,-7.9,-78.5833,49.93,90,100,2.42,PE
41,Concepcion Del Uruguay,-32.4825,-58.2372,74.98,87,83,1.99,AR
42,Tromso,69.6496,18.957,19.42,58,75,19.57,NO
43,Cidreira,-30.1811,-50.2056,73.22,93,79,5.14,BR
44,Biala Podlaska,52.0324,23.1165,53.11,78,100,8.01,PL
45,Mwene-Ditu,-7.0,23.45,66.11,96,100,0.58,CD
46,Iqaluit,63.7506,-68.5145,-9.67,70,20,8.05,CA
47,Oyama,36.3,139.8,70.59,72,100,2.06,JP
48,Ugoofaaru,5.6667,73.0,81.16,68,95,1.79,MV
49,Agadez,19.75,10.25,71.82,22,28,8.05,NE
50,Marsh Harbour,26.5412,-77.0636,73.15,63,0,15.32,BS
51,Katobu,-4.9408,122.5276,85.3,69,98,3.76,ID
52,Providencia,28.7167,-111.5833,68.2,36,0,12.3,MX
53,Washington,47.5001,-120.5015,43.77,56,80,6.33,US
54,Chokurdakh,70.6333,147.9167,-14.31,92,72,5.66,RU
55,Kysyl-Syr,63.8986,122.7617,23.22,93,100,7.05,RU
56,Bucerias,20.75,-105.3333,75.18,78,0,12.66,MX
57,Cape Town,-33.9258,18.4232,66.88,91,75,13.8,ZA
58,Axim,4.8699,-2.2405,79.2,83,54,7.27,GH
59,Atuona,-9.8,-139.0333,80.83,74,13,10.58,PF
60,Isangel,-19.55,169.2667,80.46,82,99,13.02,VU
61,Nazas,25.2333,-104.1333,76.89,11,0,10.98,MX
62,Matara,5.9485,80.5353,78.01,86,100,5.39,LK
63,Constitucion,-35.3333,-72.4167,60.35,51,0,9.62,CL
64,Ambovombe,-25.1667,46.0833,73.18,90,3,9.98,MG
65,Thompson,55.7435,-97.8558,28.56,54,100,8.05,CA
66,Srednekolymsk,67.45,153.6833,-2.22,69,36,2.73,RU
67,Nipawin,53.3668,-104.0009,23.04,80,0,9.22,CA
68,Semey,50.4111,80.2275,30.42,93,100,6.71,KZ
69,Tiksi,71.6872,128.8694,5.83,88,100,6.55,RU
70,Honiara,-9.4333,159.95,84.74,69,93,6.85,SB
71,Lasa,46.6166,10.7002,49.03,95,98,3.74,IT
72,Mount Gambier,-37.8333,140.7667,68.05,49,34,11.68,AU
73,Ponta Do Sol,32.6667,-17.1,61.72,74,22,1.61,PT
74,Moissala,8.3404,17.7663,78.35,52,49,3.56,TD
75,Chuy,-33.6971,-53.4616,69.3,95,80,4.72,UY
76,Auki,-8.7676,160.7034,85.53,66,97,8.5,SB
77,North Bend,43.4065,-124.2243,46.31,80,75,10.36,US
78,Bengkulu,-3.8004,102.2655,77.45,88,96,3.91,ID
79,Deputatskiy,69.3,139.9,-1.01,84,98,4.32,RU
80,Bethel,41.3712,-73.414,56.89,84,0,5.75,US
81,Mount Darwin,-16.7725,31.5838,62.29,98,35,2.26,ZW
82,Quebec,46.8123,-71.2145,33.48,95,100,5.75,CA
83,Pevek,69.7008,170.3133,-4.04,89,100,10.09,RU
84,Dulovo,43.8167,27.15,47.55,77,53,5.39,BG
85,East London,-33.0153,27.9116,70.2,94,100,21.74,ZA
86,Pontian Kecil,1.4801,103.3899,87.33,85,53,4.14,MY
87,Manavalakurichi,8.1333,77.3,80.76,76,100,1.32,IN
88,Namatanai,-3.6667,152.4333,84.85,60,33,8.1,PG
89,Bredasdorp,-34.5322,20.0403,67.75,92,100,16.82,ZA
90,Ruidoso,33.3317,-105.673,46.06,27,11,20.71,US
91,Khatanga,71.9667,102.5,21.79,96,100,7.31,RU
92,Ahipara,-35.1667,173.1667,67.86,57,60,6.24,NZ
93,Basco,20.4487,121.9702,79.11,80,71,9.86,PH
94,Puerto Ayora,-0.7393,-90.3518,80.55,90,24,4.0,EC
95,Kattivakkam,13.2167,80.3167,80.69,91,2,11.12,IN
96,Banjar,-8.19,114.9675,86.56,64,46,3.11,ID
97,Dikson,73.5069,80.5464,10.38,95,100,0.38,RU
98,Inyonga,-6.7167,32.0667,63.12,99,100,3.36,TZ
99,Springbok,-29.6643,17.8865,51.39,68,0,4.23,ZA
100,Dondo,-19.6094,34.7431,80.11,93,40,2.35,MZ
101,Sobolevo,54.4299,31.8996,45.36,97,100,9.73,RU
102,Pacific Grove,36.6177,-121.9166,53.87,72,40,11.5,US
103,Sao Benedito Do Rio Preto,-3.3336,-43.5283,73.24,98,100,2.3,BR
104,Vuktyl,63.8567,57.3094,33.42,99,100,11.65,RU
105,Norman Wells,65.282,-126.8329,28.44,59,0,25.32,CA
106,Gamba,-2.65,10.0,75.9,89,100,4.81,GA
107,Nivala,63.9167,24.9667,12.24,97,100,3.44,FI
108,Sumoto,34.35,134.9,69.8,94,100,8.84,JP
109,Tasiilaq,65.6145,-37.6368,12.36,61,1,6.11,GL
110,Dauriya,49.9333,116.8667,10.26,78,13,2.84,RU
111,Coquimbo,-29.9533,-71.3436,62.33,100,0,5.75,CL
